Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Joe Burrow,26,CIN,QB,3,3,2-1-0,72,109,66.1,721,4,3.7,2,1.8,36,50.4,35,6.6,6.52,10.0,240.3,89.3,10,60,8.40,5.55,5.47,0,0,,BurrJo01
2,Patrick Mahomes,27,KAN,QB,3,3,3-0-0,72,100,72.0,703,7,7.0,0,0.0,40,57.3,29,7.0,8.43,9.8,234.3,114.7,3,11,2.91,6.72,8.08,1,2,SB MVP,MahoPa00
3,Josh Allen,26,BUF,QB,2,2,1-1-0,48,81,59.3,616,3,3.7,3,3.7,30,44.9,52,7.6,6.68,12.8,308.0,80.1,8,39,8.99,6.48,5.64,0,0,,AlleJo02
4,Jalen Hurts,24,PHI,QB,3,3,2-1-0,58,87,66.7,579,3,3.4,0,0.0,25,42.9,45,6.7,7.34,10.0,193.0,96.9,4,8,4.40,6.27,6.93,0,0,,HurtJa00
5,Brock Purdy,23,SFO,QB,3,3,2-1-0,41,63,65.1,569,3,4.8,0,0.0,27,49.3,74,9.0,9.98,13.9,189.7,109.8,4,23,5.97,8.15,9.04,0,1,,PurdBr00
6,Dak Prescott,29,DAL,QB,2,2,1-1-0,48,70,68.6,511,5,7.1,2,2.9,25,48.6,46,7.3,7.44,10.6,255.5,101.5,2,8,2.78,6.99,7.13,0,0,,PresDa01
7,Trevor Lawrence,23,JAX,QB,2,2,1-1-0,52,86,60.5,505,5,5.8,5,5.8,29,50.0,39,5.9,4.42,9.7,252.5,72.1,4,27,4.44,5.31,3.92,1,1,,LawrTr00
8,Daniel Jones,25,NYG,QB,2,2,1-1-0,39,62,62.9,436,2,3.2,1,1.6,23,45.7,47,7.0,6.95,11.2,218.0,87.8,8,38,11.43,5.69,5.61,0,1,,JoneDa05
9,Tom Brady,45,TAM,QB,1,1,0-1-0,35,66,53.0,351,2,3.0,1,1.5,20,42.6,30,5.3,5.24,10.0,351.0,72.2,2,17,2.94,4.91,4.84,0,0,,BradTo00
10,Kirk Cousins,34,MIN,QB,1,1,0-1-0,31,39,79.5,273,2,5.1,0,0.0,16,56.4,28,7.0,8.03,8.8,273.0,112.9,0,0,0.00,7.00,8.03,0,0,,CousKi00
11,Justin Herbert,24,LAC,QB,1,1,0-1-0,25,43,58.1,273,1,2.3,0,0.0,13,37.0,25,6.3,6.81,10.9,273.0,84.7,3,20,6.52,5.50,5.93,0,0,,HerbJu00
12,Geno Smith,32,SEA,QB,1,1,0-1-0,25,35,71.4,253,2,5.7,1,2.9,14,52.6,50,7.2,7.09,10.1,253.0,98.9,3,25,7.89,6.00,5.87,0,0,,SmitGe00
13,Tyler Huntley,24,BAL,QB,1,1,0-1-0,17,29,58.6,226,2,6.9,1,3.4,11,45.2,41,7.8,7.62,13.3,226.0,92.0,2,17,6.45,6.74,6.58,0,0,,HuntTy01
14,Skylar Thompson,25,MIA,QB,1,1,0-1-0,18,45,40.0,220,1,2.2,2,4.4,12,32.7,25,4.9,3.33,12.2,220.0,44.7,4,31,8.16,3.86,2.43,0,0,,ThomSk00
15,Josh Johnson,36,SFO,QB,1,0,,7,13,53.8,74,0,0.0,0,0.0,3,40.0,22,5.7,5.69,10.6,74.0,70.7,2,14,13.33,4.00,4.00,0,0,,JohnJo05
16,Chad Henne,37,KAN,QB,1,0,,5,7,71.4,23,1,14.3,0,0.0,3,71.4,8,3.3,6.14,4.6,23.0,114.9,0,0,0.00,3.29,6.14,0,0,,HennCh01
17,Christian McCaffrey,26,SFO,RB,1,1,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,McCaCh01
18,Justin Jefferson,23,MIN,WR,1,1,,1,1,100.0,-2,0,0.0,0,0.0,0,,-2,-2.0,-2.00,-2.0,-2.0,79.2,0,0,0.00,-2.00,-2.00,0,0,,JeffJu00
