Rk,Player,Age,Team,Pos▲,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
25,Jordan Love,24,GNB,QB,4,0,1,-1,0,0,0.0,-1,-1.0,-0.3,0.3,0,,LoveJo03
26,Feleipe Franks,25,ATL,QB,11,1,1,0,0,0,0.0,,0.0,0.0,0.1,0,,FranFe00
27,Chase Daniel,36,LAC,QB,4,0,1,4,0,0,0.0,4,4.0,1.0,0.3,0,,DaniCh00
28,Nathan Peterman,28,CHI,QB,3,1,2,7,0,0,50.0,6,3.5,2.3,0.7,0,,PeteNa00
29,Josh Johnson,36,SFO,QB,2,0,2,3,0,0,0.0,4,1.5,1.5,1.0,0,,JohnJo05
30,Nick Foles,33,IND,QB,3,2,2,8,0,0,50.0,8,4.0,2.7,0.7,0,,FoleNi00
31,Tim Boyle,28,CHI,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,,BoylTi00
32,Joe Flacco,37,NYJ,QB,5,4,3,6,0,1,33.3,7,2.0,1.2,0.6,5,,FlacJo00
33,Anthony Brown,24,BAL,QB,2,1,3,-5,0,0,0.0,-1,-1.7,-2.5,1.5,1,,BrowAn06
34,Teddy Bridgewater,30,MIA,QB,5,2,3,27,0,2,66.7,11,9.0,5.4,0.6,0,,BridTe00
35,Brandon Allen,30,CIN,QB,1,0,3,-1,0,1,33.3,2,-0.3,-1.0,3.0,0,,AlleBr00
36,Trevor Siemian,31,CHI,QB,2,1,4,8,0,1,25.0,6,2.0,4.0,2.0,0,,SiemTr00
37,Nick Mullens,27,MIN,QB,4,0,4,8,0,1,50.0,4,2.0,2.0,1.0,0,,MullNi00
38,David Blough,27,ARI,QB,2,2,4,5,0,0,25.0,4,1.3,2.5,2.0,1,,BlouDa00
39,C.J. Beathard,29,JAX,QB,4,0,4,-4,0,0,0.0,-1,-1.0,-1.0,1.0,0,,BeatC.00
40,Jameis Winston,28,NOR,QB,3,3,5,16,0,0,40.0,6,3.2,5.3,1.7,3,,WinsJa00
41,Tyrod Taylor,33,NYG,QB,3,0,5,70,0,5,100.0,32,14.0,23.3,1.7,2,,TaylTy00
42,Nate Sudfeld,29,DET,QB,2,0,5,-4,0,0,0.0,,-0.8,-2.0,2.5,0,,SudfNa00
43,Case Keenum,34,BUF,QB,2,0,5,0,0,0,0.0,,0.0,0.0,2.5,0,,KeenCa00
44,Sam Howell,22,WAS,QB,1,1,5,35,1,4,80.0,10,7.0,35.0,5.0,0,,HoweSa00
45,Chad Henne,37,KAN,QB,3,0,5,-5,0,0,0.0,-1,-1.0,-1.7,1.7,1,,HennCh01
46,Mike White,27,NYJ,QB,4,4,6,9,1,3,66.7,4,1.5,2.3,1.5,2,,WhitMi01
47,Davis Webb,27,NYG,QB,1,1,6,41,1,2,83.3,14,6.8,41.0,6.0,0,,WebbDa00
48,P.J. Walker,27,CAR,QB,6,5,6,39,0,3,83.3,20,6.5,6.5,1.0,0,,WalkPh00
49,Brett Rypien,26,DEN,QB,4,2,6,7,0,2,33.3,6,1.2,1.8,1.5,4,,RypiBr00
50,Kyle Allen,26,HOU,QB,2,2,6,13,0,2,50.0,5,2.2,6.5,3.0,4,,AlleKy00
51,Gardner Minshew II,26,PHI,QB,5,2,7,3,1,1,14.3,3,0.4,0.6,1.4,4,,MinsGa00
52,John Wolford,27,LAR,QB,3,3,8,32,0,2,37.5,14,4.0,10.7,2.7,3,,WolfJo00
53,Joshua Dobbs,27,TEN,QB,2,2,8,44,0,4,75.0,11,5.5,22.0,4.0,4,,DobbJo00
54,Chris Streveler,27,NYJ,QB,2,1,9,54,0,1,55.6,14,6.0,27.0,4.5,1,,StreCh00
55,Cooper Rush,29,DAL,QB,9,5,9,6,0,1,11.1,6,0.7,0.7,1.0,2,,RushCo00
56,Bailey Zappe,23,NWE,QB,4,2,10,0,0,0,10.0,,0.0,0.0,2.5,4,,ZappBa00
57,Matthew Stafford,34,LAR,QB,9,9,13,9,1,3,38.5,4,0.7,1.0,1.4,5,,StafMa00
58,Skylar Thompson,25,MIA,QB,7,2,14,21,0,1,14.3,9,1.5,3.0,2.0,2,,ThomSk00
59,Jarrett Stidham,26,LVR,QB,5,2,14,84,0,7,85.7,11,6.0,16.8,2.8,3,,StidJa00
60,Colt McCoy,36,ARI,QB,4,3,14,36,0,5,42.9,9,2.6,9.0,3.5,2,,McCoCo00
61,Trace McSorley,27,ARI,QB,6,1,15,61,0,3,40.0,14,4.1,10.2,2.5,2,,McSoTr00
62,Desmond Ridder,23,ATL,QB,4,4,16,64,0,4,31.3,18,4.0,16.0,4.0,3,,RiddDe00
63,Trey Lance,22,SFO,QB,2,2,16,67,0,7,56.3,13,4.2,33.5,8.0,1,,LancTr00
64,Sam Ehlinger,24,IND,QB,4,3,17,87,0,5,52.9,19,5.1,21.8,4.3,2,,EhliSa00
65,Mitchell Trubisky,28,PIT,QB,7,5,19,38,2,7,52.6,9,2.0,5.4,2.7,0,,TrubMi00
66,Bryce Perkins,26,LAR,QB,5,1,19,90,0,6,42.1,23,4.7,18.0,3.8,0,,PerkBr02
67,Jeff Driskel,29,HOU,QB,7,2,20,75,0,4,45.0,10,3.8,10.7,2.9,0,,DrisJe00
68,Carson Wentz,30,WAS,QB,8,7,22,86,1,4,50.0,18,3.9,10.8,2.8,6,,WentCa00
69,Brock Purdy,23,SFO,QB,9,5,22,13,1,5,27.3,13,0.6,1.4,2.4,0,AP ORoY-3,PurdBr00
70,Tua Tagovailoa,24,MIA,QB,13,13,23,70,0,4,34.8,18,3.0,5.4,1.8,6,AP MVP-9,TagoTu00
71,Jimmy Garoppolo,31,SFO,QB,11,10,23,33,2,12,47.8,6,1.4,3.0,2.1,3,,GaroJi00
72,Derek Carr,31,LVR,QB,15,15,24,102,0,10,50.0,20,4.3,6.8,1.6,4,PB,CarrDe02
73,Sam Darnold,25,CAR,QB,6,6,26,106,2,10,38.5,26,4.1,17.7,4.3,6,,DarnSa00
74,Malik Willis,23,TEN,QB,8,3,27,123,1,8,44.4,17,4.6,15.4,3.4,3,,WillMa12
75,Matt Ryan,37,IND,QB,12,12,27,70,1,9,37.0,39,2.6,5.8,2.3,15,,RyanMa00
76,Zach Wilson,23,NYJ,QB,9,9,28,102,1,7,42.9,18,3.6,11.3,3.1,1,,WilsZa00
77,Taylor Heinicke,29,WAS,QB,9,9,28,96,1,6,46.4,15,3.4,10.7,3.1,7,,HeinTa00
78,Jared Goff,28,DET,QB,17,17,29,73,0,5,24.1,14,2.5,4.3,1.7,7,PBAP CPoY-6,GoffJa00
79,Tom Brady,45,TAM,QB,17,17,29,-1,1,5,17.2,2,0.0,-0.1,1.7,5,,BradTo00
80,Andy Dalton,35,NOR,QB,14,14,30,54,0,6,33.3,14,1.8,3.9,2.1,5,,DaltAn00
81,Baker Mayfield,27,2TM,QB,12,10,31,89,1,7,29.0,17,2.9,7.4,2.6,9,,MayfBa00
82,Kirk Cousins,34,MIN,QB,17,17,31,97,2,11,38.7,19,3.1,5.7,1.8,7,PB,CousKi00
83,Davis Mills,24,HOU,QB,15,15,32,108,2,8,28.1,17,3.4,7.2,2.1,8,,MillDa02
84,Ryan Tannehill,34,TEN,QB,12,12,34,98,2,12,44.1,17,2.9,8.2,2.8,3,,TannRy00
85,Aaron Rodgers,39,GNB,QB,17,17,34,94,1,9,32.4,18,2.8,5.5,2.0,8,,RodgAa00
86,Deshaun Watson,27,CLE,QB,6,6,36,175,1,10,47.2,21,4.9,29.2,6.0,1,,WatsDe00
87,Tyler Huntley,24,BAL,QB,6,4,43,137,1,12,39.5,14,3.2,22.8,7.2,3,PB,HuntTy01
88,Dak Prescott,29,DAL,QB,12,12,45,182,1,19,51.1,25,4.0,15.2,3.8,4,,PresDa01
89,Mac Jones,24,NWE,QB,14,14,47,102,1,12,34.0,15,2.2,7.3,3.4,5,,JoneMa05
90,Jacoby Brissett,30,CLE,QB,16,11,49,243,2,28,65.3,22,5.0,15.2,3.1,6,,BrisJa00
91,Justin Herbert,24,LAC,QB,17,17,54,147,0,17,40.7,23,2.7,8.6,3.2,8,AP MVP-9,HerbJu00
92,Russell Wilson,34,DEN,QB,15,15,55,277,3,21,50.9,19,5.0,18.5,3.7,6,,WilsRu00
93,Kenny Pickett,24,PIT,QB,13,12,55,237,3,23,60.0,23,4.3,18.2,4.2,4,AP ORoY-6,PickKe00
94,Patrick Mahomes,27,KAN,QB,17,17,61,358,4,25,59.0,20,5.9,21.1,3.6,5,PBAP-1AP MVP-1AP OPoY-2,MahoPa00
95,Trevor Lawrence,23,JAX,QB,17,17,62,291,5,27,59.7,24,4.7,17.1,3.6,12,PBAP MVP-7AP CPoY-12,LawrTr00
96,Kyler Murray,25,ARI,QB,11,11,67,418,3,23,61.2,42,6.2,38.0,6.1,8,,MurrKy00
97,Geno Smith,32,SEA,QB,17,17,68,366,1,24,55.9,25,5.4,21.5,4.0,8,PBAP MVP-9AP CPoY-1,SmitGe00
98,Joe Burrow,26,CIN,QB,16,16,75,257,5,28,49.3,23,3.4,16.1,4.7,6,PBAP MVP-4AP OPoY-9,BurrJo01
99,Marcus Mariota,29,ATL,QB,13,13,85,438,4,30,57.6,30,5.2,33.7,6.5,8,,MariMa01
100,Lamar Jackson,25,BAL,QB,12,12,112,764,3,47,64.3,79,6.8,63.7,9.3,5,,JackLa00
101,Daniel Jones,25,NYG,QB,16,16,120,708,7,57,59.2,25,5.9,44.3,7.5,6,AP CPoY-11,JoneDa05
102,Josh Allen,26,BUF,QB,16,16,124,762,7,55,61.3,44,6.1,47.6,7.8,13,PBAP MVP-3AP OPoY-8,AlleJo02
103,Justin Fields,23,CHI,QB,15,15,160,1143,8,65,56.3,67,7.1,76.2,10.7,16,AP MVP-9,FielJu00
104,Jalen Hurts,24,PHI,QB,15,15,165,760,13,67,59.4,42,4.6,50.7,11.0,9,PBAP-2AP MVP-2AP OPoY-3,HurtJa00
