RK,TEAM,TOTAL_DVOA,LAST_YEAR,WEI_DVOA,RK,W-L,OFF_DVOA,OFF_RK,DEF_DVOA,DEF_RK,ST_DVOA,ST_RK
1,BAL,45.5%,5,52.2%,1,13-4,19.1%,4,-23.3%,1,3.2%,3
2,SF,39.4%,3,38.4%,2,12-5,31.8%,1,-9.6%,4,-2.0%,25
3,BUF,24.1%,1,21.6%,3,11-6,20.1%,3,-3.4%,12,0.6%,15
4,DAL,19.1%,7,21.0%,4,12-5,8.8%,9,-8.7%,5,1.6%,10
5,KC,17.9%,4,12.7%,6,11-6,10.0%,8,-5.0%,7,2.9%,6
6,MIA,17.6%,8,16.9%,5,11-6,20.9%,2,2.4%,19,-0.9%,22
7,DET,17.0%,9,12.0%,7,12-5,13.8%,5,-3.2%,13,0.0%,19
8,CLE,8.8%,10,4.1%,13,11-6,-12.3%,28,-20.7%,2,0.3%,16
9,PIT,7.8%,13,8.8%,8,10-7,0.3%,15,-8.0%,6,-0.4%,20
10,JAX,4.4%,12,1.2%,17,9-8,-1.3%,18,-4.2%,10,1.4%,12
11,CIN,4.3%,6,8.3%,9,9-8,6.7%,11,5.5%,23,3.1%,4
12,HOU,3.1%,31,0.9%,18,10-7,1.0%,14,0.0%,16,2.2%,7
13,GB,1.6%,15,5.3%,12,9-8,13.0%,6,8.2%,27,-3.2%,31
14,PHI,1.1%,2,-6.6%,21,11-6,8.3%,10,11.4%,29,4.2%,1
15,NO,1.0%,18,3.3%,14,9-8,-0.6%,17,-0.8%,15,0.8%,14
16,SEA,-0.1%,11,-2.7%,19,9-8,6.2%,12,8.2%,28,1.9%,8
17,LAR,-0.3%,27,1.8%,16,10-7,12.2%,7,3.4%,22,-9.2%,32
18,TB,-1.2%,14,1.8%,15,9-8,-3.6%,20,-2.4%,14,0.0%,18
19,LAC,-3.2%,17,-8.4%,23,5-12,0.1%,16,7.5%,26,4.1%,2
20,IND,-3.8%,32,-7.4%,22,9-8,1.9%,13,2.6%,20,-3.1%,29
21,LV,-5.3%,21,7.4%,10,8-9,-10.7%,27,-4.6%,8,0.9%,13
22,CHI,-7.1%,30,6.7%,11,7-10,-6.5%,22,0.8%,17,0.2%,17
23,MIN,-7.2%,28,-10.5%,25,7-10,-7.9%,23,-3.9%,11,-3.2%,30
24,DEN,-11.9%,26,-4.5%,20,8-9,-1.6%,19,12.1%,30,1.8%,9
25,NYJ,-12.5%,20,-10.4%,24,7-10,-29.8%,32,-14.2%,3,3.1%,5
26,TEN,-13.4%,24,-13.5%,26,6-11,-10.1%,25,1.4%,18,-1.9%,24
27,NE,-15.8%,16,-17.8%,29,4-13,-17.2%,29,-4.5%,9,-3.1%,28
28,ATL,-18.6%,19,-15.2%,28,7-10,-9.8%,24,5.8%,24,-2.9%,27
29,ARI,-20.4%,29,-22.2%,30,4-13,-4.5%,21,17.3%,32,1.5%,11
30,NYG,-26.6%,23,-15.2%,27,6-11,-23.0%,30,3.0%,21,-0.6%,21
31,WAS,-28.5%,22,-34.1%,31,4-13,-10.4%,26,16.0%,31,-2.1%,26
32,CAR,-35.3%,25,-34.7%,32,2-15,-27.5%,31,6.5%,25,-1.2%,23
