Rk,Player,Age,Team,Pos▲,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
3,Kyle Juszczyk,32,SFO,FB,2,2,2,5,0,1,100.0,3,2.5,2.5,1.0,0,,JuszKy00
4,Jalen Hurts,25,PHI,QB,1,1,1,5,0,0,0.0,5,5.0,5.0,1.0,0,,HurtJa00
5,Mason Rudolph,28,PIT,QB,1,1,2,16,0,2,100.0,10,8.0,16.0,2.0,0,,RudoMa00
6,Tua Tagovailoa,25,MIA,QB,1,1,3,25,0,2,66.7,14,8.3,25.0,3.0,0,,TagoTu00
7,Davis Mills,25,HOU,QB,1,0,3,-4,0,0,0.0,-1,-1.3,-4.0,3.0,0,,MillDa02
8,Joe Flacco,38,CLE,QB,1,1,3,13,0,2,66.7,8,4.3,13.0,3.0,0,,FlacJo00
9,C.J. Stroud,22,HOU,QB,2,2,4,10,0,0,0.0,7,2.5,5.0,2.0,0,,StroCJ00
10,Baker Mayfield,28,TAM,QB,2,2,4,31,0,2,75.0,14,7.8,15.5,2.0,0,,MayfBa00
11,Dak Prescott,30,DAL,QB,1,1,6,45,0,4,83.3,18,7.5,45.0,6.0,0,,PresDa01
12,Jordan Love,25,GNB,QB,2,2,6,2,0,1,16.7,3,0.3,1.0,3.0,1,,LoveJo03
13,Jared Goff,29,DET,QB,2,2,9,3,0,1,22.2,7,0.3,1.5,4.5,1,,GoffJa00
14,Brock Purdy,24,SFO,QB,3,3,14,74,0,5,50.0,21,5.3,24.7,4.7,0,,PurdBr00
15,Lamar Jackson,26,BAL,QB,2,2,19,154,2,9,68.4,23,8.1,77.0,9.5,1,,JackLa00
16,Josh Allen,27,BUF,QB,2,2,20,146,3,9,65.0,52,7.3,73.0,10.0,1,,AlleJo02
17,Patrick Mahomes,28,KAN,QB,4,4,23,141,0,9,43.5,28,6.1,35.3,5.8,2,SB MVP,MahoPa00
