,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos▲,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
3,Jared Goff,30,DET,QB,1,1,1,7,0,1,100.0,7,7.0,7.0,1.0,1,,GoffJa00
4,Marcus Mariota,31,WAS,QB,2,0,2,1,0,1,50.0,2,0.5,0.5,1.0,0,,MariMa01
5,Jordan Love,26,GNB,QB,1,1,2,10,0,0,0.0,11,5.0,10.0,2.0,0,,LoveJo03
6,Russell Wilson,36,PIT,QB,1,1,3,6,0,0,33.3,5,2.0,6.0,3.0,0,,WilsRu00
7,Mitchell Trubisky,30,BUF,QB,1,0,3,-3,0,0,0.0,-1,-1.0,-3.0,3.0,0,,TrubMi00
8,Matthew Stafford,36,LAR,QB,2,2,4,4,0,0,0.0,5,1.0,2.0,2.0,2,,StafMa00
9,Bo Nix,24,DEN,QB,1,1,4,43,0,4,100.0,18,10.8,43.0,4.0,0,,NixxBo00
10,Sam Darnold,27,MIN,QB,1,1,4,19,0,3,75.0,17,4.8,19.0,4.0,1,,DarnSa00
11,Kenny Pickett,26,PHI,QB,2,0,5,-7,0,0,0.0,-1,-1.4,-3.5,2.5,0,,PickKe00
12,Baker Mayfield,29,TAM,QB,1,1,7,23,0,1,14.3,18,3.3,23.0,7.0,1,,MayfBa00
13,C.J. Stroud,23,HOU,QB,2,2,12,84,0,5,50.0,28,7.0,42.0,6.0,2,,StroCJ00
14,Lamar Jackson,27,BAL,QB,2,2,21,120,0,8,61.9,20,5.7,60.0,10.5,1,,JackLa00
15,Patrick Mahomes,29,KAN,QB,3,3,22,82,2,7,45.5,15,3.7,27.3,7.3,3,,MahoPa00
16,Josh Allen,28,BUF,QB,3,3,29,105,2,14,65.5,13,3.6,35.0,9.7,3,,AlleJo02
17,Jalen Hurts,26,PHI,QB,4,4,34,194,5,14,55.9,44,5.7,48.5,8.5,1,SB MVP,HurtJa00
18,Jayden Daniels,24,WAS,QB,3,3,35,135,1,9,48.6,19,3.9,45.0,11.7,0,,DaniJa02
