Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Jayden Daniels,24,WAS,QB,3,3,2-1-0,75,114,65.8,822,5,4.4,1,0.9,43,46.6,58,7.2,7.69,11.0,274.0,97.9,4,27,3.39,6.74,7.20,1,1,,DaniJa02
2,Jalen Hurts,26,PHI,QB,4,4,4-0-0,65,91,71.4,726,5,5.5,1,1.1,35,49.0,46,8.0,8.58,11.2,181.5,108.6,13,100,12.50,6.02,6.55,0,0,SB MVP,HurtJa00
3,Patrick Mahomes,29,KAN,QB,3,3,2-1-0,55,83,66.3,679,5,6.0,2,2.4,32,46.8,50,8.2,8.30,12.3,226.3,101.4,11,58,11.70,6.61,6.71,1,1,,MahoPa00
4,Josh Allen,28,BUF,QB,3,3,2-1-0,58,82,70.7,636,4,4.9,0,0.0,26,49.4,55,7.8,8.73,11.0,212.0,109.6,5,22,5.75,7.06,7.98,0,0,,AlleJo02
5,Matthew Stafford,36,LAR,QB,2,2,1-1-0,45,71,63.4,533,4,5.6,0,0.0,25,44.9,48,7.5,8.63,11.8,266.5,105.0,7,40,8.97,6.32,7.35,0,0,,StafMa00
6,C.J. Stroud,23,HOU,QB,2,2,1-1-0,41,61,67.2,527,1,1.6,1,1.6,24,44.4,41,8.6,8.23,12.9,263.5,92.7,11,79,15.28,6.22,5.88,0,0,,StroCJ00
7,Lamar Jackson,27,BAL,QB,2,2,1-1-0,34,46,73.9,429,4,8.7,1,2.2,20,53.1,42,9.3,10.09,12.6,214.5,122.5,3,24,6.12,8.27,8.98,0,0,,JackLa00
8,Jared Goff,30,DET,QB,1,1,0-1-0,23,40,57.5,313,1,2.5,3,7.5,17,50.0,34,7.8,4.95,13.6,313.0,59.7,2,16,4.76,7.07,4.33,0,0,,GoffJa00
9,Russell Wilson,36,PIT,QB,1,1,0-1-0,20,29,69.0,270,2,6.9,0,0.0,9,42.4,37,9.3,10.69,13.5,270.0,121.3,4,19,12.12,7.61,8.82,0,0,,WilsRu00
10,Sam Darnold,27,MIN,QB,1,1,0-1-0,25,40,62.5,245,1,2.5,1,2.5,11,32.7,26,6.1,5.50,9.8,245.0,77.6,9,82,18.37,3.33,2.82,0,0,,DarnSa00
11,Justin Herbert,26,LAC,QB,1,1,0-1-0,14,32,43.8,242,1,3.1,4,12.5,9,33.3,86,7.6,2.56,17.3,242.0,40.9,4,31,11.11,5.86,1.42,0,0,,HerbJu00
12,Jordan Love,26,GNB,QB,1,1,0-1-0,20,33,60.6,212,0,0.0,3,9.1,12,48.6,29,6.4,2.33,10.6,212.0,41.5,2,17,5.71,5.57,1.71,0,0,,LoveJo03
13,Baker Mayfield,29,TAM,QB,1,1,0-1-0,15,18,83.3,185,2,11.1,0,0.0,12,63.2,26,10.3,12.50,12.3,185.0,146.5,1,2,5.26,9.63,11.74,0,0,,MayfBa00
14,Bo Nix,24,DEN,QB,1,1,0-1-0,13,22,59.1,144,1,4.5,0,0.0,6,37.5,43,6.5,7.45,11.1,144.0,93.7,2,14,8.33,5.42,6.25,0,0,,NixxBo00
15,Tress Way,34,WAS,P,1,0,,1,1,100.0,23,0,0.0,0,0.0,1,100.0,23,23.0,23.00,23.0,23.0,118.7,0,0,0.00,23.00,23.00,0,0,,WayxTr00
16,David Montgomery,27,DET,RB,1,1,,1,1,100.0,20,0,0.0,0,0.0,1,100.0,20,20.0,20.00,20.0,20.0,118.7,0,0,0.00,20.00,20.00,0,0,,MontDa01
17,Riley Dixon,31,DEN,P,1,0,,1,1,100.0,15,0,0.0,0,0.0,1,100.0,15,15.0,15.00,15.0,15.0,118.7,0,0,0.00,15.00,15.00,0,0,,DixoRi00
18,Teddy Bridgewater,32,DET,QB,1,0,,1,1,100.0,3,0,0.0,0,0.0,1,100.0,3,3.0,3.00,3.0,3.0,79.2,0,0,0.00,3.00,3.00,0,0,,BridTe00
19,Justin Fields,25,PIT,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,FielJu00
20,Kenny Pickett,26,PHI,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,PickKe00
21,Jameson Williams,23,DET,WR,1,1,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,WillJa11
,League Average,,,,,,,,,65.9,,,4.7,,2.3,,46.2,,7.8,7.72,11.9,182.5,95.5,,,9.21,6.49,6.38,,,,-9999
